Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Afghanistan,2021/4/27 1:21,33.93911,67.709953,59015,2592,52520,3903,151.5990625,NA,NA,4.392103702,4,AFG
Albania,2021/4/27 1:21,41.1533,20.1683,130606,2379,106465,21762,4538.397387,NA,NA,1.821508966,8,ALB
Algeria,2021/4/27 1:21,28.0339,1.6596,121112,3217,84440,33455,276.1895538,NA,NA,2.656219037,12,DZA
Andorra,2021/4/27 1:21,42.5063,1.5218,13083,124,12519,440,16932.63444,NA,NA,0.947794848,20,AND
Angola,2021/4/27 1:21,-11.2027,17.8739,25710,583,23288,1839,78.226101,NA,NA,2.267600156,24,AGO
Antigua and Barbuda,2021/4/27 1:21,17.0608,-61.7964,1228,32,1002,194,1253.982518,NA,NA,2.605863192,28,ATG
Argentina,2021/4/27 1:21,-38.4161,-63.6167,2879677,62087,2542004,275586,6371.562104,NA,NA,2.156040417,32,ARG
Armenia,2021/4/27 1:21,40.0691,45.0382,213469,4040,194900,14529,7203.919771,NA,NA,1.892546459,51,ARM
Australia,2021/4/27 1:21,-25,133,29701,910,23248,5543,116.6588766,NA,NA,3.063869903,36,AUS
Austria,2021/4/27 1:21,47.5162,14.5501,610545,10098,575217,25230,6779.012702,NA,NA,1.653932143,40,AUT
Azerbaijan,2021/4/27 1:21,40.1431,47.5769,313812,4402,280403,29007,3095.044715,NA,NA,1.402750691,31,AZE
Bahamas,2021/4/27 1:21,25.025885,-78.035889,10220,198,9326,696,2598.868907,NA,NA,1.937377691,44,BHS
Bahrain,2021/4/27 1:21,26.0275,50.55,172576,625,161491,10460,10142.08534,NA,NA,0.362159281,48,BHR
Bangladesh,2021/4/27 1:21,23.685,90.3563,748628,11150,661693,75785,454.5696792,NA,NA,1.48939126,50,BGD
Barbados,2021/4/27 1:21,13.1939,-59.5432,3825,44,3735,46,1331.032011,NA,NA,1.150326797,52,BRB
Belarus,2021/4/27 1:21,53.7098,27.9534,353846,2502,344206,7138,3744.671178,NA,NA,0.707087264,112,BLR
Belgium,2021/4/27 1:21,50.8333,4.469936,974418,24024,NA,950394,8407.681497,NA,NA,2.465471697,56,BEL
Belize,2021/4/27 1:21,17.1899,-88.4976,12624,322,12185,117,3174.882614,NA,NA,2.550697085,84,BLZ
Benin,2021/4/27 1:21,9.3077,2.3158,7720,97,7510,113,63.67956706,NA,NA,1.256476684,204,BEN
Bhutan,2021/4/27 1:21,27.5142,90.4336,1026,1,938,87,132.9683831,NA,NA,0.097465887,64,BTN
Bolivia (Plurinational State of),2021/4/27 1:21,-16.2902,-63.5887,297659,12824,245633,39202,2549.972248,NA,NA,4.308285656,68,BOL
Bosnia and Herzegovina,2021/4/27 1:21,43.9159,17.6791,195971,8350,155647,31974,5973.241405,NA,NA,4.260834511,70,BIH
Botswana,2021/4/27 1:21,-22.3285,24.6849,45855,691,41338,3826,1949.928241,NA,NA,1.506924,72,BWA
Brazil,2021/4/27 1:21,-14.235,-51.9253,14369423,391936,12640871,1336616,6760.191453,NA,NA,2.727569506,76,BRA
Brunei Darussalam,2021/4/27 1:21,4.5353,114.7277,223,3,212,8,50.97340925,NA,NA,1.34529148,96,BRN
Bulgaria,2021/4/27 1:21,42.7339,25.4858,399259,16101,329043,54115,5746.019433,NA,NA,4.032720615,100,BGR
Burkina Faso,2021/4/27 1:21,12.2383,-1.5616,13263,156,12937,170,63.44937861,NA,NA,1.176204479,854,BFA
Burundi,2021/4/27 1:21,-3.3731,29.9189,3874,6,773,3095,32.57986166,NA,NA,0.154878678,108,BDI
Cabo Verde,2021/4/27 1:21,16.5388,-23.0418,22586,208,19525,2853,4062.317892,NA,NA,0.920924466,132,CPV
Cambodia,2021/4/27 1:21,11.55,104.9167,10555,79,3577,6899,63.13187576,NA,NA,0.748460445,116,KHM
Cameroon,2021/4/27 1:21,3.848,11.5021,65998,991,35261,29746,248.6187679,NA,NA,1.501560653,120,CMR
Canada,2021/4/27 1:21,60.001,-95.001,1195827,24011,1091032,80784,3158.908531,NA,NA,2.007899136,124,CAN
Central African Republic,2021/4/27 1:21,6.6111,20.9394,6224,85,5112,1027,128.8675803,NA,NA,1.365681234,140,CAF
Chad,2021/4/27 1:21,15.4542,18.7322,4772,169,4399,204,29.05175309,NA,NA,3.541492037,148,TCD
Chile,2021/4/27 1:21,-35.6751,-71.543,1175614,25975,1106862,42777,6149.828138,NA,NA,2.209483725,152,CHL
China,2021/4/27 1:21,30.5928,114.3055,102388,4845,97060,483,7.289081322,NA,NA,4.731999844,156,CHN
"China, Taiwan Province of China",2021/4/27 1:21,23.7,121,1104,12,1046,46,4.635388292,NA,NA,1.086956522,158,TWN
Colombia,2021/4/27 1:21,4.5709,-74.2973,2787303,71799,2602489,113015,5477.879359,NA,NA,2.575930927,170,COL
Comoros,2021/4/27 1:21,-11.6455,43.3333,3829,146,3650,33,440.319919,NA,NA,3.813006007,174,COM
Congo,2021/4/27 1:21,-0.228,15.8277,10678,144,8208,2326,193.5089158,NA,NA,1.348567147,178,COG
Costa Rica,2021/4/27 1:21,9.7489,-83.7534,241240,3168,201264,36808,4735.661589,NA,NA,1.313215056,188,CRI
Cote d'Ivoire,2021/4/27 1:21,7.54,-5.5471,45863,283,45413,167,173.8665625,NA,NA,0.617055142,384,CIV
Croatia,2021/4/27 1:21,45.1,15.2,323036,6905,302699,13432,7868.81636,NA,NA,2.137532659,191,HRV
Cuba,2021/4/27 1:21,21.521757,-77.781167,102441,597,96322,5522,904.4272358,NA,NA,0.582774475,192,CUB
Cyprus,2021/4/27 1:21,35.1264,33.4299,62960,301,39061,23598,5214.678957,NA,NA,0.478081321,196,CYP
Czechia,2021/4/27 1:21,49.8175,15.473,1620206,29002,1537362,53842,15129.41193,NA,NA,1.790019294,203,CZE
Democratic Republic of the Congo,2021/4/27 1:21,-4.0383,21.7587,29611,756,26156,2699,33.06223292,NA,NA,2.553105265,180,COD
Denmark,2021/4/27 1:21,56.2639,9.5018,249020,2478,236851,9691,4299.227772,NA,NA,0.995100795,208,DNK
Djibouti,2021/4/27 1:21,11.8251,42.5903,10885,138,10458,289,1101.718418,NA,NA,1.267799724,262,DJI
Dominica,2021/4/27 1:21,15.415,-61.371,173,0,171,2,240.3078163,NA,NA,0,212,DMA
Dominican Republic,2021/4/27 1:21,18.7357,-70.1627,265403,3459,222174,39770,2446.583229,NA,NA,1.303301018,214,DOM
Ecuador,2021/4/27 1:21,-1.8312,-78.1834,374775,18300,318598,37877,2124.206345,NA,NA,4.882929758,218,ECU
Egypt,2021/4/27 1:21,26.820553,30.802498,223514,13107,167900,42507,218.4153065,NA,NA,5.864062206,818,EGY
El Salvador,2021/4/27 1:21,13.7942,-88.8965,68468,2106,64405,1957,1055.594793,NA,NA,3.075889467,222,SLV
Equatorial Guinea,2021/4/27 1:21,1.6508,10.2679,7559,107,7097,355,538.7798159,NA,NA,1.415531155,226,GNQ
Eritrea,2021/4/27 1:21,15.1794,39.7823,3640,10,3455,175,102.6385148,NA,NA,0.274725275,232,ERI
Estonia,2021/4/27 1:21,58.5953,25.0136,120378,1145,107906,11327,9074.591851,NA,NA,0.95117048,233,EST
Eswatini,2021/4/27 1:21,-26.5225,31.4659,18443,671,17741,31,1589.689044,NA,NA,3.638236729,748,SWZ
Ethiopia,2021/4/27 1:21,9.145,40.4897,253120,3570,193497,56053,220.1740703,NA,NA,1.41039823,231,ETH
Fiji,2021/4/27 1:21,-17.7134,178.065,103,2,65,36,11.48984209,NA,NA,1.941747573,242,FJI
Finland,2021/4/27 1:21,61.9241,25.7482,85937,906,46000,39031,1551.008371,NA,NA,1.054260679,246,FIN
France,2021/4/27 1:21,46.2276,2.2137,5565080,103415,339392,5122273,8525.78608,NA,NA,1.858284158,250,FRA
Gabon,2021/4/27 1:21,-0.8037,11.6094,22568,138,19173,3257,1013.960376,NA,NA,0.611485289,266,GAB
Gambia,2021/4/27 1:21,13.4432,-15.3101,5857,173,5284,400,242.3588881,NA,NA,2.953730579,270,GMB
Georgia,2021/4/27 1:21,42.3154,43.3569,304272,4043,287029,13200,7627.441764,NA,NA,1.328745333,268,GEO
Germany,2021/4/27 1:21,51.165691,10.451526,3312653,81786,2921400,309467,3953.804037,NA,NA,2.468897286,276,DEU
Ghana,2021/4/27 1:21,7.9465,-1.0232,92253,777,89975,1501,296.8917172,NA,NA,0.842249033,288,GHA
Greece,2021/4/27 1:21,39.0742,21.8243,334436,10087,93764,230585,3208.617511,NA,NA,3.016122666,300,GRC
Grenada,2021/4/27 1:21,12.1165,-61.679,159,1,155,3,141.3094677,NA,NA,0.628930818,308,GRD
