Month,ëSçë(Japan),ñkäCìπ(Hokkaido),ìåñk(Tohoku),ä÷ìå(Kanto),ñkä÷ìå(Kanto(north),ìÏä÷ìå(Kanto(south),ìåãûìs(Kanto(Tokyo),çbêMâz(Koushinetsu),ìåäC(Tokai),ñkó§(Hokuriku),ãﬂãE(Kinki),íÜçë(Chugoku),élçë(Shikoku),ã„èB(Kyusyu),â´ìÍ(Okinawa)
200201,35.4,34.7,33.1,33.6,32.9,33.8,35.2,34.5,35.2,31.4,36.4,39.6,39.8,34.3,47
200202,34.6,36,33.3,31.9,31.7,31.9,33.1,31.8,38.8,31.7,34.4,37,34,36.2,54.8
200203,41.4,38.6,38.3,39.3,35.9,40.6,44.5,40.7,43.3,39.7,43.3,43.1,43.6,43.1,59.3
200204,44.2,39.7,42.9,42.1,39.5,43.2,46.9,43.4,47.8,44.4,43.5,45.8,44.8,44.4,55.9
200205,45.2,40.3,47.4,44.1,42.9,44.6,47.4,45.9,47.7,44.6,43.1,47.4,44.7,47.5,52.3
200206,42.5,38.6,44.2,39.7,35.5,41.3,45.3,47.3,43.4,44.8,42.4,46.7,41.8,41,51.1
200207,42.2,40.6,40.1,39.9,38,40.6,42.5,44.2,40.9,44.3,40,44.8,41.4,39.1,46.2
200208,42.2,40.7,43.8,41.3,40.5,41.5,41.6,44.5,43.3,45.1,43,45.7,37.4,40.2,41.2
200209,41.7,42,42.3,40.3,38.8,40.9,39,43.9,43.5,47.4,39.2,43.4,39,40,46.6
200210,39.1,38,39.6,36.9,36.5,37.1,35.3,39.2,43.3,38.7,36,43.4,37.8,35.9,46.8
200211,38.3,41,38.4,36.1,35.5,36.4,38.5,40.4,39.5,36.8,34.5,40.9,39.4,38.4,51.6
200212,38.3,40.6,38.3,38.2,35.6,39.2,40.4,38.8,40.6,36.8,36.3,38.9,36.5,37.3,49.6
200301,38.7,39.9,38.8,38.2,36.4,38.9,38.6,36.6,39.6,36,38.1,41.2,36.9,37.4,48.8
200302,39.6,42.7,38.5,38.6,35.8,39.7,43,35.7,40,39.9,39.5,44.9,38.7,38.5,53.8
200303,38.7,40.4,37.4,37.5,36.5,37.9,36.8,38.1,40.2,39.1,37.7,42,39.3,40.2,39.5
200304,36.5,31,32.2,36,34.4,36.7,36.4,36.8,37.7,36.7,36.5,40.2,36.8,37.3,37.8
200305,37.3,33.2,37.7,36.2,37.9,35.5,38.9,38.3,37.4,40.7,37.9,39.9,38.1,38.9,34.6
200306,41.7,40.1,40.2,41.5,39.1,42.4,45,39.2,43.4,42.2,42.4,42,43.1,41.2,46.9
200307,44.4,41.6,40.1,42.6,40.3,43.4,46.3,42.2,45.3,41.1,45.1,45.3,43.7,44.9,57.6
200308,45.2,43.4,40.7,43.5,40.1,44.7,50.3,42.3,47.4,40.1,48.9,46.8,47.5,47.1,54.5
200309,48,44.9,44.6,46.5,44.8,47.1,52.3,45.1,48.7,47.6,52.2,48.1,48.5,49.4,55.9
200310,51.8,45.8,46.7,50.1,46.7,51.4,53,48.6,55.5,49.2,55.7,53.4,52.8,51.7,55.8
200311,49.7,46.6,48.6,48.6,48.4,48.7,51.5,47.8,53.6,52,54.1,50.6,45.7,47.4,51.6
200312,51.1,46.9,48.2,50.9,50,51.2,53.4,49.2,52.3,50.9,55.5,51.8,48.7,49.1,56.1
200401,51.3,46.5,48.9,50.5,44.4,52.9,56.2,51.6,54.2,54.2,55.2,50.9,50.5,50.7,52.4
200402,51.2,46.9,47.6,51.1,49.1,51.9,59.4,51.4,54,51.9,54.6,51.7,48.2,48.9,52.2
200403,51.5,46.6,49,50.5,50.3,50.6,55.1,49.4,55.3,50.6,55.4,51.8,49.5,48.3,57.5
200404,53.3,49.6,49.5,52.6,51.5,53.1,56.6,54.9,55.5,52.6,58,53.3,49.8,52.5,60.2
200405,51.7,48.6,48.6,50.6,49,51.1,55.1,49,55.7,52.5,57.5,51.6,50.5,50.7,64.2
200406,51.3,49.9,47.9,50.6,50,50.8,52.6,51.7,54.7,50.1,53.8,51,48,50.4,54.3
200407,53.6,51,52.2,53.4,51.7,54.1,55.9,52.2,53.9,57,56.2,52.3,49.1,51.9,55.6
200408,49.6,49.7,48.1,49.9,49.2,50.2,51.1,49.4,52.1,52.3,50.9,49.9,48.3,46.1,52.7
200409,47,46.5,45.1,46.9,43.7,48.2,50.9,46.7,48,46.6,48.4,48.5,44.7,45,47.8
200410,47.1,48.3,43.8,46.9,45.6,47.3,50.8,46.5,47.1,47.4,49.6,46.7,47.1,45.2,48.3
200411,46.7,45.1,42.6,47.7,45.4,48.6,50.9,43.8,48.4,46.7,49.2,46.2,47.9,45.9,48.6
200412,46,46.9,41.5,45.3,42.8,46.1,49.8,46.4,48.7,49.3,47.4,44.4,45.8,46.2,46.7
200501,47.9,48.4,42.8,45.9,43.8,46.7,51.9,49.2,48.7,48.3,50.9,47.1,51.6,48.7,50.7
200502,46.7,46.8,43.8,45.5,43.4,46.3,49.7,48.3,50,44.7,48.4,46.1,46.3,48.4,52.8
200503,47.1,48.2,44.6,47,42.5,48.7,51.5,48.6,47.6,46.7,47.6,47.1,44.7,47,51.8
200504,47.4,47.3,43,46,42.4,47.4,49.5,47.3,50.6,48.5,48.8,47.3,47.6,48,52
200505,49.4,49.6,45.3,49.1,44.7,50.6,52.9,48.2,52.6,47.7,51,50.8,47,50.3,55.7
200506,50.6,49.1,43.2,50.1,46.4,51.5,53.8,47.4,52.8,51,52.5,52.3,54.1,52.5,55.1
200507,49.6,48.9,41.4,49.2,44.9,50.9,52.2,46.9,51.9,51.3,51.6,50.3,48,51.7,52.5
200508,49.8,47.7,44.5,49.4,45.7,50.8,53.8,51.3,51.6,43.7,53,49.7,49.5,53.2,50.8
200509,51.1,50.4,46.2,50.4,48.2,51.3,54,50.5,56.5,47.8,53.3,50.8,50.6,52.5,49.6
200510,51.3,46.6,46.6,50.6,45.6,52.4,55.6,51.6,53.8,49.9,55.1,52.2,50.1,52.1,50.2
200511,54.6,53.6,53.3,54.1,48.8,56,59.2,56.1,55.3,51.4,58.7,54.4,49.6,54.7,50.9
200512,57.5,53.9,52.1,58.3,55.6,59.3,61.8,60.7,60,50.5,63.5,55.7,54.2,61,60.2
200601,55.2,54.8,52.2,54.6,51.3,55.8,59.6,54.6,56.6,52.1,59.8,55.6,53.2,54.6,53.3
200602,55,54.6,50.3,54.9,52.9,55.6,58.2,55.4,55.5,56.4,57.2,54.3,53.6,57.6,52.9
200603,54.9,54.1,49.3,54.8,53.4,55.3,58.2,53.7,56.9,54.6,58.2,55.7,52.3,55.8,51.8
200604,52.2,52.1,48.8,52.7,51.9,53,56.4,52.6,54.4,52.3,54.1,52,51.1,50.4,50.5
200605,50.7,52.3,46.9,51.5,50.6,51.9,55.2,50.9,50.9,51.8,53.7,49.8,46.5,50.5,47.2
200606,48.3,45.8,46.7,47.9,44.9,49.1,51.3,50.5,49.8,48.7,52.9,47.6,44.6,46.9,50.2
200607,47.3,47.5,43.8,47.3,46.6,47.6,48.9,46.4,48,47.4,50.5,46.8,47.1,46.2,49.3
200608,49.4,49.3,48.4,48.8,48.2,49.1,51.2,48.3,50.3,46.6,52.9,49.3,48.1,47.4,54.4
200609,50.5,49,48.7,49.3,45.5,50.9,53.8,50.8,51.6,48.9,53.2,50.2,48.4,51.4,52.4
200610,51.5,53.4,50.2,51.3,48.6,52.3,55.6,51.4,53.1,50.2,52.6,50.4,43.8,51.2,54.7
200611,50.5,50.6,48.3,49.9,46.9,51,52.6,54.2,51.8,49.9,51.6,50.4,46,50.9,55.3
