Month,Total,Kakei,Kakei(kouri),Kakei(inshoku),Kakei(service),Kakei(zyutaku),Kigyo,Kigyo(maker),Kigyo(non-maker),Koyou
200201,35.4,37.1,36.4,38.2,38.6,36.0,33.7,33.1,33.8,27.1
200202,34.6,35.0,32.3,36.5,39.1,39.8,35.5,35.1,36.2,29.7
200203,41.4,42.2,41.6,39.8,43.8,42.6,41.4,40.9,42.1,36.8
200204,44.2,44.4,45.8,38.3,43.3,42.3,44.3,45.2,43.6,43.0
200205,45.2,44.2,45.4,37.3,43.2,44.2,47.5,48.1,46.7,47.2
200206,42.5,41.0,41.5,34.5,41.8,41.0,45.1,47.3,43.2,46.8
200207,42.2,41.0,41.4,35.0,41.3,41.2,44.3,46.1,42.4,45.9
200208,42.2,41.5,41.1,36.7,42.5,46.2,43.2,43.6,42.6,44.9
200209,41.7,41.1,40.5,41.4,42.3,40.5,42.6,43.7,41.2,44.2
200210,39.1,38.4,38.5,34.9,39.6,36.3,40.0,41.0,38.4,42.2
200211,38.3,37.3,37.8,33.5,36.8,39.5,40.6,40.7,40.1,40.4
200212,38.3,37.1,36.0,35.3,38.9,40.7,41.2,42.5,39.8,40.5
200301,38.7,37.8,36.5,35.4,40.6,41.0,39.9,41.1,38.6,42.4
200302,39.6,38.6,39.0,37.5,37.8,40.1,40.5,41.7,39.1,44.9
200303,38.7,37.5,36.5,37.1,38.5,42.6,39.4,40.2,38.6,45.1
200304,36.5,34.8,35.4,32.6,34.1,35.4,38.0,38.1,37.7,44.9
200305,37.3,36.1,36.7,34.5,34.4,39.1,38.6,38.6,38.3,43.0
200306,41.7,40.7,39.9,36.6,43.3,40.3,42.7,43.8,41.5,46.3
200307,44.4,43.1,40.9,43.5,47.3,45.0,46.2,47.6,44.3,50.0
200308,45.2,43.3,41.1,39.3,48.9,42.7,47.5,48.8,46.5,52.9
200309,48.0,46.1,45.4,44.3,47.6,47.7,50.1,49.0,51.2,56.9
200310,51.8,50.5,50.9,45.3,51.7,47.6,52.5,52.3,52.4,58.9
200311,49.7,47.3,44.3,47.2,52.8,50.7,52.2,53.6,50.9,60.7
200312,51.1,48.9,48.0,46.5,51.4,49.7,52.1,52.6,52.0,63.0
200401,51.3,49.2,48.3,47.6,51.4,49.7,53.2,54.2,52.7,61.8
200402,51.2,49.3,48.4,46.4,51.3,51.9,52.3,53.7,51.9,62.0
200403,51.5,49.0,48.0,47.0,50.9,51.6,53.5,55.6,52.4,64.2
200404,53.3,51.0,49.3,52.0,53.7,54.8,55.6,57.8,54.2,63.5
200405,51.7,48.7,45.4,51.4,53.7,54.3,54.9,55.1,55.0,64.6
200406,51.3,48.6,46.8,50.1,51.0,53.0,54.0,54.5,53.7,64.1
200407,53.6,51.8,52.6,47.6,51.3,51.5,54.7,52.5,56.7,63.0
200408,49.6,47.0,46.6,47.1,47.2,50.2,51.8,50.7,52.3,62.7
200409,47.0,44.7,43.4,45.1,47.2,45.2,48.8,48.6,49.2,58.7
200410,47.1,44.8,44.3,39.1,46.6,48.0,48.5,47.6,49.5,59.6
