Month,合計,サービス産業計,Ｇ情報通信業,37通信業,38放送業,39情報サービス業,40インターネット附随サービス業,41映像・音声・文字情報制作業,Ｈ運輸業，郵便業,42鉄道業,43道路旅客運送業,44道路貨物運送業,45水運業,47倉庫業,48運輸に附帯するサービス業,4*航空運輸業，郵便業（信書便事業を含む）,Ｋ不動産業，物品賃貸業,68不動産取引業,69不動産賃貸業・管理業,70物品賃貸業,Ｌ学術研究，専門・技術サービス業　（※「学術・開発研究機関」（平成25年１月以降）及び「純粋持株会社」（平成25年１月以降）を除く）,72専門サービス業（他に分類されないもの）　（※「純粋持株会社」（平成25年１月以降）を除く）,73広告業,74技術サービス業（他に分類されないもの）,Ｍ宿泊業，飲食サービス業,75宿泊業,76飲食店,77持ち帰り・配達飲食サービス業,Ｎ生活関連サービス業，娯楽業　（※「家事サービス業」を除く）,78洗濯・理容・美容・浴場業,79その他の生活関連サービス業　（※「家事サービス業」を除く）,80娯楽業,Ｏ教育，学習支援業　（※「学校教育」を除く）,82その他の教育，学習支援業,82aうち社会教育，職業・教育支援施設,82bうち学習塾，教養・技能教授業,Ｐ医療，福祉（※「保健所」、「社会保険事業団体」（平成25年１月以降）及び「福祉事務所」を除く）,83医療業,84保健衛生　（※「保健所」を除く）,85社会保険・社会福祉・介護事業　（※「社会保険事業団体」（平成25年１月以降）及び「福祉事務所」を除く）,Ｒサービス業（他に分類されないもの）　（※「政治・経済・文化団体」、「宗教」及び「外国公務」を除く）,88廃棄物処理業,89自動車整備業,90機械等修理業（別掲を除く）,91職業紹介・労働者派遣業,92その他の事業サービス業,95その他のサービス業,その他
201601,31445759,30734950,4361267,1560701,318475,1689179,255593,505894,4644265,628774,305842,1634343,548102,317361,953579,277188,3705624,988910,1684646,962156,2436773,673026,877559,880179,2919566,498661,2184536,243364,5002221,472414,744588,3774015,308156,308156,56415,202771,4717139,3382206,48110,1288625,3055155,300684,272477,317727,545743,1583695,49155,737912
201602,31959089,31276249,4452698,1529633,304633,1806626,262866,525860,4723465,586472,293092,1745778,545001,329265,988842,261220,4021719,1308281,1724381,968247,2539690,714094,833143,992705,2731438,479489,2006728,244871,4656227,484809,814251,3335903,315649,315649,67709,185264,4810840,3491222,45520,1257966,3324722,323415,283038,366880,596286,1711636,51723,726586
201603,40598966,39194550,6680248,1674035,353540,3711239,312610,679005,5421961,713493,331397,1962023,587801,355490,1210942,300041,4924849,2236924,1720159,1074753,4502731,1070429,1227226,2204013,3119864,565197,2304372,252363,5174385,560728,946919,3639404,324468,324468,94016,193824,5132546,3726290,52552,1334878,3875294,370810,334736,481578,639850,1981626,54802,1259153
201604,32183664,31500900,4198177,1469763,311365,1573791,251965,562814,4999996,704134,323607,1825864,553028,343257,1036919,259145,3967251,1314350,1714426,927040,2591172,749974,863286,979261,2925435,506599,2186159,239218,4926192,582417,796223,3531779,308195,308195,91580,181620,4753792,3432826,43331,1269690,3197855,320831,270579,303487,600588,1674921,53606,728479
201605,32121488,31380267,4251597,1492054,317085,1660666,252682,501882,4816230,656342,321365,1728308,571467,330553,992958,258514,3787011,1137802,1704856,908513,2474865,728224,802270,948215,3084739,567774,2267722,249334,5190862,579911,851257,3741613,283527,283527,87180,171548,4767206,3402707,48297,1325003,3201565,331800,261091,319354,585020,1669796,52105,764199
201606,33786895,32967853,4786206,1477854,313020,2198699,268824,525877,4950819,626288,329987,1833151,561917,346582,1032929,261145,4124879,1472244,1726134,937953,3063144,791657,901908,1370270,2875087,480155,2144779,255727,4822359,555945,861583,3381618,280077,280077,84639,173534,4911481,3527196,67267,1312520,3418916,346486,283072,361872,649367,1735383,55358,828542
201607,33445484,32693864,4296936,1483187,323760,1699857,264922,501453,5169650,683506,339198,1904728,586164,342950,1044713,290652,4095499,1367884,1737752,976643,2620479,746186,896239,976770,3224611,609927,2359672,253187,5116463,571987,909757,3610329,309552,309552,85302,194875,4898976,3505992,69291,1324193,3395841,356287,287233,348690,648067,1716374,53133,783152
201608,33267297,32559857,4297064,1490187,312410,1713910,266140,490696,5109180,676355,333799,1819397,597611,338609,1084388,291932,4112384,1386117,1747326,969791,2491979,719670,794164,981667,3435026,798138,2391487,221589,5095591,542498,959686,3563871,343710,343710,95421,211920,4874887,3488533,61745,1326819,3277062,341305,256664,343287,610746,1685111,51441,754279
201609,34924158,33986683,5331578,1551525,327122,2623930,280478,559556,5139482,688150,333744,1876660,565662,339829,1082718,284495,4169032,1394106,1731230,1025182,3100933,781149,921454,1396615,2908817,543154,2120352,242049,4816325,518060,946640,3320081,313613,313613,93838,192871,4796237,3423438,64214,1313936,3540980,359982,294733,392385,646021,1799346,53570,913406
201610,33345994,32569883,4419832,1593272,320940,1677911,268459,526015,5199180,707971,349151,1895084,588217,337257,1078462,281284,3788078,936931,1744907,1015973,2573285,736996,889136,945689,3124360,618628,2242177,253674,5168573,549782,1047027,3534963,298961,298961,89432,181357,4923391,3523142,68023,1333235,3489201,375056,292558,348628,653477,1780959,54554,797487
