Month,合計（鉄構物、軸受、電線・ケーブルを除く）,原動機,原動機_原子力原動機,原動機_火水力原動機,原動機_内燃機関,重電機,重電機_発電機,重電機_その他重電機,電子・通信機械,電子・通信機械_通信機,電子・通信機械_電子応用装置,電子・通信機械_電気計測器,産業機械,産業機械_風水力機械,産業機械_運搬機械,産業機械_産業用ロボット,産業機械_金属加工機械,産業機械_化学機械,産業機械_冷凍機械,産業機械_合成樹脂加工機械,産業機械_繊維機械,産業機械_建設機械,産業機械_鉱山機械,産業機械_農林用機械,産業機械_その他,工作機械,鉄道車両,道路車両,航空機,船舶,鉄構物,軸受,電線・ケーブル
201601,1786369,242100,21747,177411,42942,107845,4502,103343,566304,90628,41093,38246,502939,60253,57449,36704,17920,67436,27786,17206,14878,126473,764,39371,36699,81194,35694,117306,85498,47489,21223,47414,94142
201602,2072245,253751,36307,162195,55249,170809,14081,156728,661105,126437,44547,40740,604119,65056,74715,34782,16757,79034,31388,23111,10388,144078,1130,63819,59861,80693,39611,135150,77519,49488,23021,48142,102764
201603,4459449,831596,288562,397438,145596,292304,15676,276628,1194483,197202,82822,55045,974072,93465,125886,37738,28740,232245,44505,18300,20103,153919,1527,70506,147138,94824,163904,136201,673690,98375,61736,53142,99292
201604,2056456,162283,25403,67223,69657,109031,7832,101199,747181,97584,37527,39738,675092,61319,67939,37104,14111,125259,24567,17316,14916,140495,1112,55946,115008,83926,47902,138160,75160,17721,14872,50015,91291
201605,1673282,127584,43629,38996,44959,153762,3616,150146,575690,92527,37105,39993,490830,56096,63789,36129,18116,27488,31350,17092,15372,130443,1776,50292,42887,85341,52142,93957,51709,42267,9781,46458,82342
201606,2352254,292114,39321,192701,60092,148771,15822,132949,776496,103862,56713,45344,684209,70929,75250,42276,25023,80833,43610,24039,16997,154801,7568,55699,87184,90245,98020,132238,98160,32001,41635,51269,94461
201607,1853187,103393,23212,28092,52089,146597,21461,125136,606761,99081,43474,35602,603577,64881,81437,36620,25822,70754,45902,19755,17276,128865,1027,58518,52720,84960,68130,122118,55383,62268,16507,51132,91765
201608,1768494,120456,25749,46941,47766,151084,5453,145631,583478,88306,40108,32089,558439,69472,84580,38834,21606,37521,38354,18803,11906,133662,1402,45409,56890,79189,76381,112945,68172,18350,22815,46984,86639
201609,2611437,188819,57416,74929,56474,223398,29709,193689,891917,120792,39253,43755,709260,86629,116061,43043,23410,90047,37549,18464,15007,146852,1195,55389,75614,84220,145327,123778,221212,23506,21205,45323,102891
201610,1839717,147751,20911,51529,75311,148734,5453,143281,619677,105512,36172,34598,563394,67643,74620,38350,20224,67995,25714,18782,11960,145977,1283,48057,42789,76951,60164,109620,64540,48886,16150,51474,102865
