Month,ëSçë,ñkäCìπ,ìåñk,ä÷ìå,íÜïî,ãﬂãE,íÜçë,élçë,ã„èB
201412,783753,24322,23816,370647,67987,183877,33479,13182,66442
201501,599590,18548,18924,287699,52603,137080,25735,10190,48812
201502,492570,16342,15707,236360,42384,112699,20982,7786,40310
201503,602489,19190,19690,295290,52331,134118,24755,9831,47282
201504,522289,15645,16365,255584,44770,120332,21275,8380,39938
201505,541836,16356,16426,265261,46776,124169,22345,8593,41910
201506,539264,16002,16694,269029,45251,121883,23062,8345,38998
201507,619065,18071,18656,293794,55137,145419,27034,10343,50611
201508,483198,15797,15436,227964,40912,115410,21342,7332,39006
201509,494090,15667,15810,236334,43855,114745,21025,7796,38857
201510,549601,17369,18169,264526,46865,126720,23195,9005,43752
201511,599196,17792,18670,292862,49434,136802,25854,9815,47966
201512,782582,24446,24249,369684,68073,184329,33503,13091,65207
201601,586885,18533,19109,282806,50879,134126,25394,10035,46003
201602,491216,15808,15818,238347,41787,112209,20882,7777,38589
201603,583078,18703,19792,283859,50670,130757,24226,9357,45713
201604,501237,15081,16420,245757,43127,116294,20933,7859,35767
201605,512450,15603,16297,249663,43705,118443,21669,8065,39005
201606,518303,15606,16227,257448,43806,115954,22539,8025,38697
201607,616473,18407,18863,291336,54082,144063,27133,10267,52322
201608,452908,15290,14475,211830,38567,108179,20263,6852,37453
201609,468407,16788,14603,226574,39987,106712,20879,6953,35911
201610,524531,16113,17641,251153,45728,120799,22603,8707,41787
201611,579610,16479,18216,283609,48092,131697,25190,9074,47252
201612,762522,22511,23475,358928,66743,181850,32630,12398,63987
201701,574014,18082,18320,273632,49714,134420,24328,9395,46122
201702,477364,15219,15146,227929,41262,113193,20032,7281,37302
201703,572931,17671,18994,277339,50824,130354,23709,9138,44903
201704,499447,14729,16186,240511,42653,117656,20833,7870,39010
201705,506928,15005,15705,241714,44187,120404,21298,7888,40728
201706,519440,15255,16462,254730,43979,119468,22389,7945,39212
201707,601005,17396,18574,281414,51716,145390,26190,9793,50532
201708,455199,15115,14948,212160,38401,110572,20009,6753,37240
201709,478381,15295,14589,227291,42156,114560,20745,7104,36640
201710,516410,16528,17014,242989,44331,123947,21801,8299,41502
201711,592380,17050,18187,286270,49226,138269,25221,9300,48856
201712,759358,23641,22727,353593,66012,184758,32214,12315,64097
201801,565899,17920,18119,265745,49196,136149,23973,9183,45613
201802,470173,15654,13968,223674,40777,112691,19017,7071,37321
201803,570796,17704,18286,271272,49907,135601,23591,8985,45451
201804,500527,15115,15242,236075,43674,122553,20093,7885,39890
201805,494355,15040,14668,234565,42941,119615,20043,7575,39909
201806,533124,15824,15894,260956,47305,121777,22247,8198,40923
201807,561745,16778,17322,262126,48934,136678,22836,9195,47877
201808,451507,15298,14069,207955,37753,112437,19481,6656,37859
201809,460009,13784,13919,220808,39987,107530,19916,6893,37170
201810,515881,16242,16150,239807,43816,126855,21842,8579,42590
201811,578923,17626,17874,276116,47954,136654,24880,9122,48697
201812,740478,23639,21974,339708,64201,185624,31397,11954,61981
201901,538611,18079,17100,249203,47115,130409,22705,8877,45125
201902,460434,15556,14266,212628,40386,114435,18571,6913,37678
201903,562469,17478,18281,265437,48572,136697,22880,8947,44178
201904,489850,14624,14972,229323,41543,123695,19615,7660,38418
201905,485356,14940,14287,228153,40616,121231,19759,7552,38819
201906,522054,15473,15371,253489,43817,124156,21750,8286,39712
201907,541566,15909,16151,250391,45579,137117,22792,8747,44881
201908,457845,14927,14205,213589,38453,115498,18849,6591,35733
201909,561946,17431,16029,264529,49767,139701,23281,8755,42453
201910,426919,13906,13263,194803,36140,108797,17977,6943,35090
201911,545283,16477,16526,261505,45145,129587,23378,8467,44198
201912,705529,22746,20448,326081,59823,178185,29790,11186,57270
202001,521060,17643,16107,241246,45743,127775,22620,8603,41324
202002,406009,12140,13320,192077,36606,96368,17002,6691,31804
202003,378831,10073,13157,182098,32739,87620,15879,6391,30874
202004,139724,5565,6986,63243,12155,31422,7465,2515,10372
202005,174376,3738,8410,75756,15048,43318,8864,3015,16228
202006,425688,12288,13800,205310,37393,99456,18450,7266,31726
202007,434273,12726,14204,193685,38138,110588,19859,8330,36743
202008,360198,11416,12399,165232,28951,91082,15575,7107,28437
202009,370812,12001,11255,177216,32431,89095,15960,5052,27802
202010,416334,12884,12968,193299,36892,101951,18053,5791,34495
202011,462840,11443,14235,223188,39352,108158,21018,6279,39167
202012,603355,17316,17863,282826,52065,147683,25408,8798,51397
