Month,çáåvÅiìSç\ï®ÅAé≤éÛÅAìdê¸ÅEÉPÅ[ÉuÉãÇèúÇ≠Åj,å¥ìÆã@,å¥ìÆã@_å¥éqóÕå¥ìÆã@,å¥ìÆã@_âŒêÖóÕå¥ìÆã@,å¥ìÆã@_ì‡îRã@ä÷,èdìdã@,èdìdã@_î≠ìdã@,èdìdã@_ÇªÇÃëºèdìdã@,ìdéqÅEí êMã@äB,ìdéqÅEí êMã@äB_í êMã@,ìdéqÅEí êMã@äB_ìdéqâûópëïíu,ìdéqÅEí êMã@äB_ìdãCåvë™äÌ,éYã∆ã@äB,éYã∆ã@äB_ïóêÖóÕã@äB,éYã∆ã@äB_â^î¿ã@äB,éYã∆ã@äB_éYã∆ópÉçÉ{ÉbÉg,éYã∆ã@äB_ã‡ëÆâ¡çHã@äB,éYã∆ã@äB_âªäwã@äB,éYã∆ã@äB_ó‚ìÄã@äB,éYã∆ã@äB_çáê¨é˜éââ¡çHã@äB,éYã∆ã@äB_ë@à€ã@äB,éYã∆ã@äB_åöê›ã@äB,éYã∆ã@äB_çzéRã@äB,éYã∆ã@äB_î_ó—ópã@äB,éYã∆ã@äB_ÇªÇÃëº,çHçÏã@äB,ìSìπé‘óº,ìπòHé‘óº,çqãÛã@,ëDîï,ìSç\ï®,é≤éÛ,ìdê¸ÅEÉPÅ[ÉuÉã
200504,987529,88140,24561,28684,34895,50701,4703,45998,473607,195726,16130,34586,283367,26058,50519,18721,14811,36860,11098,9704,817,35746,1207,38325,39501,52425,13488,17712,3430,4659,4666,32478,67398
200505,923772,61672,19182,19675,22815,39219,2852,36367,468293,169126,14794,24453,248712,22690,50036,14229,17611,20443,14643,6666,1634,39243,1008,28540,31969,46097,14725,20271,1694,23089,6026,30201,63351
200506,1228821,95522,31311,35629,28582,57295,6992,50303,698462,256555,19226,25524,274800,26593,39972,15562,13560,31166,22757,7769,1016,42397,2098,34657,37253,51081,14203,24708,8347,4403,3695,36287,71208
200507,952960,60340,21992,13327,25021,47899,3111,44788,448563,170589,15523,25731,287494,25642,38448,13489,12258,49923,20087,7248,1218,45978,1754,36266,35183,49731,18566,26903,2887,10577,5123,34691,68512
200508,977542,70150,18526,11449,40175,38855,1940,36915,506851,167740,15829,24555,265859,26219,35230,12170,12264,38322,13205,8442,1327,43992,2006,39129,33553,51513,9655,27454,2478,4727,10831,29051,66354
200509,1429912,106144,35239,39331,31574,66902,5698,61204,785430,200401,17511,32877,349929,31726,55553,16429,22729,52792,16755,7031,1156,48919,2414,42989,51436,51580,31383,24353,9609,4582,10876,36545,78825
200510,934075,57064,11711,19767,25586,55039,5890,49149,471549,204271,16276,25987,247389,25248,35310,16040,13417,29399,11176,8092,988,39894,2177,23402,42246,50361,19818,20859,6982,5014,7868,34644,80002
200511,1075349,97929,24071,31220,42638,57061,3675,53386,527013,240157,17347,29100,262306,27031,31100,12827,13449,41165,12901,8336,751,45221,2460,30700,36365,54981,27214,24749,7477,16619,9317,37396,85579
200512,1255306,93466,30897,25080,37489,55573,5421,50152,723638,263073,17720,31911,276293,27095,34206,12273,21117,43064,14121,8554,978,35565,1825,24557,52938,55348,18256,22743,4809,5180,30425,35150,78458
200601,878002,66884,18866,15725,32293,40080,3226,36854,455002,194620,14503,26417,221172,27018,24471,12778,10252,31138,15923,9060,1065,35651,1734,20263,31819,50636,12142,25736,4739,1611,9490,33694,79615
200602,1098020,106902,38907,26503,41492,53904,4913,48991,571750,228704,16199,32622,267059,28925,27801,13776,13959,47969,13766,8117,975,40134,1816,32111,37710,48675,17638,25211,4445,2436,6026,35962,82557
200603,1957066,350052,147782,162023,40247,111147,7740,103407,918383,300124,20552,41867,413107,36800,55891,13676,23230,65344,24909,7656,1307,52224,1838,56803,73429,57284,26645,34928,37810,7710,24755,41311,91269
200604,1123357,90826,23522,26949,40355,87122,5181,81941,556823,223958,27749,35188,273459,29063,45090,16611,16554,34565,10630,8630,1475,43003,917,31518,35403,50291,38121,20137,4217,2361,7410,34830,89088
200605,1071975,72056,26465,17935,27656,66773,5644,61129,508451,178515,20970,30807,274355,32482,40590,14194,13177,35099,15234,8981,930,46694,1686,30883,34405,49176,67934,21483,2338,9409,4355,32277,88700
200606,1421086,94852,29084,39063,26705,70021,5162,64859,745515,258571,21256,33355,358727,33569,63139,13953,18054,35703,25159,7848,1172,54808,935,29624,74763,53646,63865,25164,3186,6110,8102,37844,101405
200607,963380,82330,18886,16596,46848,46533,3264,43269,431372,141405,19005,24615,279740,31253,41249,12514,19927,31876,21801,7325,1349,45960,1510,33463,31513,49146,21124,26368,4093,22674,5498,37596,92547
200608,971673,66651,15982,21183,29486,46374,1897,44477,486976,165648,18886,26740,277322,26586,41210,13115,15721,38270,15891,6884,1090,46203,1044,36437,34871,49542,11842,26075,2068,4823,8032,33023,94230
