Month,合計,サービス産業計,Ｇ情報通信業,37通信業,38放送業,39情報サービス業,40インターネット附随サービス業,41映像・音声・文字情報制作業,Ｈ運輸業，郵便業,42鉄道業,43道路旅客運送業,44道路貨物運送業,45水運業,47倉庫業,48運輸に附帯するサービス業,4*航空運輸業，郵便業（信書便事業を含む）,Ｋ不動産業，物品賃貸業,68不動産取引業,69不動産賃貸業・管理業,70物品賃貸業,Ｌ学術研究，専門・技術サービス業　（※「学術・開発研究機関」（平成25年１月以降）及び「純粋持株会社」（平成25年１月以降）を除く）,72専門サービス業（他に分類されないもの）　（※「純粋持株会社」（平成25年１月以降）を除く）,73広告業,74技術サービス業（他に分類されないもの）,Ｍ宿泊業，飲食サービス業,75宿泊業,76飲食店,77持ち帰り・配達飲食サービス業,Ｎ生活関連サービス業，娯楽業　（※「家事サービス業」を除く）,78洗濯・理容・美容・浴場業,79その他の生活関連サービス業　（※「家事サービス業」を除く）,80娯楽業,Ｏ教育，学習支援業　（※「学校教育」を除く）,82その他の教育，学習支援業,82aうち社会教育，職業・教育支援施設,82bうち学習塾，教養・技能教授業,Ｐ医療，福祉（※「保健所」、「社会保険事業団体」（平成25年１月以降）及び「福祉事務所」を除く）,83医療業,84保健衛生　（※「保健所」を除く）,85社会保険・社会福祉・介護事業　（※「社会保険事業団体」（平成25年１月以降）及び「福祉事務所」を除く）,Ｒサービス業（他に分類されないもの）　（※「政治・経済・文化団体」、「宗教」及び「外国公務」を除く）,88廃棄物処理業,89自動車整備業,90機械等修理業（別掲を除く）,91職業紹介・労働者派遣業,92その他の事業サービス業,95その他のサービス業,その他
201301,27331888,26585901,4316625,1636496,295613,1609035,206129,569352,4560251,583438,245182,1716540,500621,290823,842614,381034,3233779,794408,1455973,983398,1911926,450818,700481,760627,2106043,413405,1502478,190161,3870377,407996,597697,2864683,309276,309276,38820,213794,3581393,2788229,35717,757447,2696231,282641,162770,313758,463326,1434554,39180,745987
201302,27395304,26576476,4421431,1651034,288753,1665782,213096,602766,4501124,529656,240960,1789120,471330,300474,835887,333695,3463955,1023166,1447787,993002,2001478,476533,688592,836353,1966294,392917,1389255,184122,3600512,396632,631765,2572115,304635,304635,40931,191973,3462275,2721987,38155,702133,2854772,296266,177819,359631,480217,1503384,37455,818829
201303,35140562,33925461,6449797,1840417,335627,3255840,254382,763531,5490958,644219,274149,2007629,535570,320081,1307578,401733,4884786,2158217,1617870,1108699,3207903,667946,985663,1554293,2341347,464785,1680085,196477,4092349,477373,737963,2877013,308681,308681,50545,196850,3771341,2969722,41390,760229,3378300,341605,215385,514806,510293,1754036,42175,1215101
201304,28676427,27760257,4263757,1637602,304869,1479866,215081,626339,4904139,627287,269668,1907484,506809,316401,927961,348529,3677606,1113189,1590256,974160,2152749,540266,722079,890404,2175359,439367,1541662,194331,3859612,471213,628706,2759693,289943,289943,45346,198615,3643724,2860480,41636,741608,2793367,312039,190269,304612,476119,1465315,45013,916170
201305,28648626,27743236,4236696,1635624,298911,1515238,218768,568155,4748322,581344,268105,1795007,526480,314614,894298,368473,3613526,1019151,1631525,962849,2009301,502835,682003,824464,2302509,494116,1606195,202198,4028658,483051,694146,2851460,285602,285602,52963,188269,3745849,2904051,47678,794120,2772774,309578,169659,316703,470765,1460430,45639,905391
201306,29300152,28294078,4795002,1630518,305428,2010697,230356,618004,4775900,538068,267646,1855272,526070,321220,897124,370499,3583730,1101480,1477130,1005121,2223426,526912,759090,937424,2180954,448324,1537557,195073,3935002,476022,702322,2756658,280861,280861,45703,191355,3635507,2840226,54239,741041,2883696,315683,189344,365882,491340,1476441,45005,1006074
201307,29713659,28806191,4390562,1662415,309305,1592490,225966,600385,5145657,624282,271717,1986898,574179,334053,948458,406070,3889499,1290023,1521605,1077870,2064056,514405,725460,824190,2312013,498921,1614205,198887,3992925,458861,733722,2800342,316165,316165,48089,219307,3811620,2962076,54016,795528,2883693,320731,188809,344233,513673,1468598,47648,907467
201308,29423912,28545924,4369803,1667087,311153,1601770,216459,573334,4991832,638781,274279,1839366,581775,320640,927454,409538,3767913,1214178,1485550,1068185,1914086,485856,671050,757180,2584233,677852,1718412,187969,4153283,448143,770309,2934830,324608,324608,73954,192447,3637628,2845062,47859,744707,2802538,321829,163674,337810,475887,1460075,43262,877988
201309,30564452,29533873,5364875,1701722,326476,2463300,228232,645145,5045153,625170,264978,1893661,557734,326321,982245,395045,3911145,1236466,1521196,1153483,2346478,517661,803670,1025146,2192697,487287,1513058,192352,3804620,417831,747668,2639121,290000,290000,65532,179492,3603659,2816310,51742,735607,2975245,329613,178292,403702,493895,1523755,45988,1030579
201310,29471657,28619881,4437104,1713802,320981,1585063,206740,610517,5177373,637586,283852,1992750,556144,332491,952141,422409,3753306,1099722,1507014,1146570,2074480,497418,753063,824000,2235171,508730,1524341,202100,3898702,449060,808375,2641267,282272,282272,62481,178612,3800033,2934630,55351,810052,2961439,348783,181353,339467,520011,1520959,50866,851776
