ISO3,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,,,,,,,,,,,,,,,,,
AFG,0.39,0.39,0.39,0.39,0.42,0.42,0.42,0.42,0.42,0.43,0.44,0.53,0.53,0.5,0.5,0.5,0.39
AGO,,,,,0.8,,,,,,,,,,,,
ALB,3.26,3.14,3.07,3.01,3.08,3.12,3.09,,3.01,2.99,2.88,2.88,2.89,,,,
AND,2.589999914,,3.299999952,,2.7,2.6,2.6,,2.5,,,,,,,,
ARB,1.642780696,1.576436213,1.571150859,1.606222064,1.622473791,1.649643558,1.617125894,1.639012878,1.538073585,1.547148942,1.162404057,1.161845501,1.150759944,2.27463741,1.485155562,2.073544441,1.380398006
ARE,2.28,2.19,2.19,2.19,2.19,1.88,1.88,1.86,1.93,1.93,1.07,1.07,1.15,0.01,1.1,1.36,1.38
ARG,,,,,4,,,,,4.5,4.39,4.59,4.78,4.84,4.96,4.95,4.99
ARM,5.03,4.35,4.42,4.44,4.46,4.42,4.07,3.82,3.72,3.73,3.74,4.05,4.06,4.16,4.2,,
ASM,,,,,,,,,,,,,,,,,
ATG,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,1.93,,3.6,3.55,3.61,3.01,2.89
AUS,3.95,3.93,3.97,4,3.9,3.93,,3.82,3.77,3.78,3.79,3.75,3.74,3.79,3.82,3.84,
AUT,7.85,7.81,7.73,7.73,7.69,7.66,7.75,7.69,7.68,7.65,7.68,7.67,7.64,7.58,7.54,7.42,7.37
AZE,8.51,8.4,8.27,8.24,8.21,7.94,7.93,7.67,7.54,5.06,4.62,4.65,4.69,4.82,,,
BDI,,,,,,0.7,,,,,1.9,,,0.79,,,
BEL,6.62,6.54,6.53,6.48,6.44,6.35,6.27,6.25,6.15,6.12,6.05,5.99,5.93,5.85,5.83,5.76,5.66
BEN,,,,,0.5,,,,,0.5,,,,,,,
BFA,,,,,,0.9,,,,0.4,,,,,,,
BGD,0.3,0.34,,,0.3,,,,,,0.6,,,0.6,0.77,0.79,
BGR,7.2,6.49,6.29,6.13,6.41,6.28,6.46,6.61,6.72,6.62,6.45,6.61,6.82,7.13,7.24,7.27,7.45
BHR,2.82,2.86,2.81,2.81,2.81,2.74,2.74,1.97,1.9,1.77,1.7,2.08,2.08,2.03,1.95,1.89,1.74
BHS,3.4,3.400000095,3.4,3.4,,3.2,3.2,3.2,3.2,2.92,2.9,2.86,2.85,2.76,2.83,,2.96
BIH,3.24,3.21,3.17,3.05,3.12,3.32,3.39,3.35,3.33,3.4,3.46,3.5,3.5,3.49,,,
BLR,12.58,11.94,11.34,10.71,11.13,11.18,11.23,11.12,11.07,11.45,11.25,11.27,11.05,10.83,,,
BLZ,,,1.299999952,1.3,1.2,1.3,1.2,1.2,1.1,1.2,1.09,1.08,0.89,1.27,,1.22,1.04
BMU,,,,,,,,,,,,,,,,,
BOL,,,1,1,,1.1,1.1,1.1,1.1,,1.07,1.1,1.12,1.15,1.13,1.27,1.29
BRA,2.78,2.59,2.42,,2.52,2.48,2.47,2.44,2.43,2.37,2.31,2.27,2.25,2.22,2.15,2.11,2.09
BRB,,,7.3,7.3,6.7,6.6,,7.6,6.8,6.76,,6.34,6.34,5.93,5.9,5.89,5.97
BRN,,2.7,,2.6,2.58,2.79,,2.7,2.6,2.46,2.46,2.44,2.42,2.43,2.77,2.76,2.85
BTN,1.6,1.6,,,,1.7,,,,,1.8,1.74,,,,,
BWA,,,2.2,,,,2.4,1.8,,1.8,,,,,,,
CAF,,,,,,1.2,,,,,1,,,,,,
CAN,3.69,3.64,3.5,3.44,3.1,3.02,2.96,2.85,2.8,2.78,2.8,2.79,2.72,2.67,2.62,2.6,2.53
CEB,,6.737823247,6.887874263,6.827509901,6.774348966,6.733956696,6.603310899,6.664636914,6.65480915,6.569159914,6.542458718,6.574336638,6.556354548,6.582222727,6.57965017,6.583020918,6.593179498
CHE,6.04,5.95,5.82,5.67,5.54,5.39,5.36,5.21,5.1,5.19,5.05,4.97,4.85,4.73,4.73,4.69,4.65
CHI,,,,,,,,,,,,,,,,,
CHL,2.62,2.54,2.51,2.41,2.31,2.33,2.29,2.28,2.27,2.04,2.22,2.17,2.17,2.12,2.14,2.12,2.11
CHN,1.66,1.7,1.73,1.79,1.84,1.91,1.99,2.13,2.29,2.47,2.69,3.01,3.29,3.55,3.79,4.02,4.31
CIV,,,,,,0.4,,,,,,,,,,,
CMR,,,,,,1.5,,,,1.3,,,,,,,
COD,,,,,1.1,0.8,,,,,,,,,,,
COG,,,,,1.6,,,,,,,,,,,,
COL,,,1.100000024,1.2,,1,1,,,1.48,1.45,1.48,1.54,1.59,1.61,1.68,1.7
COM,,,,,,2.2,,,,2.16,,,,,,,
CPV,,,,,2.1,,,2.1,,2.1,,,,,,,
CRI,1.61,1.57,1.54,1.5,1.35,1.32,1.3,1.25,1.24,1.24,1.23,1.2,1.18,1.17,1.16,1.15,1.14
CSS,2.492976534,,2.531528646,,2.442570841,2.556564202,2.182279821,,2.300534122,2.311664113,,2.294115269,2.24275002,,2.501154347,2.316063967,2.386722811
CUB,,,4.900000095,,4.9,4.9,4.9,6,5.9,5.9,5.08,5.04,5.05,5.16,5.24,5.32,5.33
CUW,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,
CYP,4.4,4.4,4.3,4.2,3.83,3.8,3.8,3.78,3.76,3.57,3.51,3.46,3.41,3.42,3.42,3.43,3.4
CZE,7.77,7.76,7.73,7.65,7.57,7.45,7.33,7.21,7.14,7.3,7.06,6.93,6.7,6.68,6.67,6.66,6.63
DEU,9.01,8.87,8.74,8.58,8.47,8.3,8.24,8.21,8.24,8.25,8.38,8.34,8.28,8.23,8.13,8.06,8
DJI,1.75,1.75,1.61,1.61,1.61,1.61,,,,1.42,1.42,1.42,1.42,1.4,1.4,1.4,1.4
DMA,3.5,3.900000095,3.9,3.9,3.9,,4,3.8,3.8,3.8,3.8,3.8,,,,,
DNK,4.22,4.29,4.13,3.97,3.86,3.79,3.69,3.57,3.49,3.5,3.13,,3.07,2.69,2.53,2.6,2.61
DOM,,,2.099999905,,2,,1.22,1.57,1.44,1.59,1.74,1.74,1.79,1.79,1.58,1.44,1.56
DZA,,,,1.7,,,,,,,,,,,1.9,,
EAP,1.658499614,1.643425218,1.730509661,1.842023261,1.876776782,1.869292303,1.934542552,2.108196703,2.038053596,2.298052551,2.281970605,2.660050508,2.818070229,2.991762223,3.299852121,3.408495132,3.674993894
EAR,0.94297162,0.938016378,1.19076028,,0.933510817,0.963494198,0.945315229,0.864722865,0.837554595,0.954899869,1.120702929,0.897906402,0.917524636,0.951542903,0.92111395,0.869940168,0.923086033
EAS,2.753333824,2.564432178,2.94627946,2.969267676,2.943743329,2.900998336,3.04202928,3.164671046,2.957516528,3.146146074,3.217868224,3.500631643,3.687806064,3.856329184,4.189620296,4.263346697,4.514633975
