ISO3,2007,2010,2012,2014,2016,2018
ABW,,,,,,
AFG,,,,,,
AGO,,,,,,
ALB,54.4,53.2,52.3,51.7,51.1,50.5
AND,40.5,39.9,39.3,38.7,38.4,38.1
ARB,40.20373568,39.0155131,38.33954019,37.86836779,37.35477673,36.91007466
ARE,39,37.9,37.4,36.9,36.1,35.6
ARG,41.3,37.2,34.7,32.3,30.2,28.2
ARM,60.5,58.2,56.4,54.8,53.5,51.8
ASM,,,,,,
ATG,,,,,,
AUS,24.9,22.9,21.9,20.7,19.7,18.7
AUT,42.6,38.8,36.4,34.4,32.3,30.4
AZE,48.1,45.3,43.6,42,40.4,39
BDI,23.9,22.3,21.4,20.5,19.6,18.8
BEL,31.3,30,29.2,28.3,27.6,26.9
BEN,20.2,17.6,16.1,14.8,13.5,12.4
BFA,29.5,28.1,27.2,26.5,25.6,24.9
BGD,63,62.4,61.9,61.3,60.8,60.6
BGR,52.3,49.4,47.7,46.2,44.5,42.5
BHR,42.5,42.2,42,41.9,41.7,41.5
BHS,18.5,18.4,18.5,18.5,18.5,18.6
BIH,52.7,50.7,49.5,48.3,47.5,46.3
BLR,53.6,50.7,48.4,46.5,44.4,42.8
BLZ,,,,,,
BMU,,,,,,
BOL,,,,,,
BRA,31.9,28.8,26.7,24.8,23.2,21.5
BRB,16.5,16.1,15.7,15.4,15.2,15
BRN,29.2,28.9,28.9,28.8,28.7,28.6
BTN,,,,,,
BWA,37.2,37.3,37.3,37.3,37.3,37.3
CAF,,,,,,
CAN,34.7,30.9,28.5,26.3,24.5,22.7
CEB,41.80225561,39.49721881,38.1229201,36.74765781,35.57504241,34.24073859
CHE,30.9,30.1,29.5,29,28.3,27.8
CHI,,,,,,
CHL,53.5,52.5,51.4,50.5,49.8,49.2
CHN,52.2,50.9,50,49,48.3,47.7
CIV,30.4,28.5,27.4,26.2,25,24.3
CMR,17.5,17.5,17.5,17.5,17.5,17.5
COD,,,,,,
COG,22.2,24.2,25.6,27.1,28.6,30.1
COL,17.9,16.2,14.9,14,13,12.2
COM,37,34.8,33.6,32.3,31,29.9
CPV,,,,,,
CRI,20.8,19,17.7,16.7,15.6,14.7
CSS,,,,,,
CUB,51.4,47.7,45.7,43.5,41.3,39.7
CUW,,,,,,
CYM,,,,,,
CYP,58,55.2,54,52.5,51.3,50.1
CZE,38.6,37.8,37.2,36.7,36.2,35.6
DEU,34.3,33.1,32.3,31.5,30.8,29.9
DJI,,,,,,
DMA,,,,,,
DNK,30.5,26.4,24.2,22,20.1,18.4
DOM,16.7,14.8,13.8,12.9,12,11.2
DZA,39.7,38.3,37.9,37.3,36.8,36.3
EAP,54.402583,53.2112703,52.4144016,51.5414472,50.91073023,50.36362874
EAR,49.82577604,47.29948291,45.77965588,44.24365295,42.90549444,41.55300532
EAS,53.18563121,51.78451944,50.8823938,49.89779522,49.16017442,48.5171776
ECA,48.56672376,46.17829618,44.49409893,43.06612317,41.53098624,40.20705919
ECS,40.6739803,38.67315973,37.32778157,36.11689861,34.92081931,33.78178013
ECU,,,,,,
EGY,41.8,41.9,41.7,42,42.3,42.3
EMU,35.56422774,34.20959317,33.27812547,32.47190118,31.68917775,30.8518371
ERI,19.9,18,17,16,15,14.2
ESP,38.2,35.4,33.6,32,30.6,29.1
EST,47.1,44.1,42.2,40.1,38.6,36.9
ETH,10.5,9.8,9.4,9,8.6,8.3
EUU,36.86799949,35.19616869,34.11482951,33.12633882,32.21348658,31.21524265
FCS,,,,,,
FIN,28.4,26.1,24.6,23.4,22.1,21
FJI,46.8,45.4,44.8,43.7,42.9,42.3
FRA,37.4,37,36.7,36.7,36.4,36
FRO,,,,,,
FSM,,,,,,
GAB,,,,,,
GBR,29.5,27,25.4,23.8,22.4,21.1
GEO,59,57.5,56.4,55.9,55,54.2
GHA,9.5,8.7,8.3,7.8,7.4,7
