ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,0.582,0.44,0.4956,0.4971,0.6078,,,,0.2495,0.1476,0.1299,0.1482,0.1755,
AGO,,,,,,,,0.9163,,,,,,,0.9854,,,,,1.3144,,,,,,,,,0.4075
ALB,4.4993,,,4.9487,5.1514,4.5996,4.6097,4.6082,4.0923,4.0766,4.017,3.832,3.669,3.6042,3.5866,3.6076,4.1613,4.2011,,4.1894,4.0183,4.1761,4.4192,4.2892,,,3.6495,,
AND,,,,,,2.457,,2.7061,2.9173,3.1677,3.318,3.1798,3.1286,2.9372,2.9096,3.3714,3.1975,3.3857,,3.6805,4.765,,,,,4.0128,,,
ARB,,,,,,,,,,,,,,,,,,,,,2.427540376,,,,,,,,2.155536833
ARE,2.832,3.8318,4.0017,3.8098,3.7073,3.5808,3.5643,3.5509,4.368,3.6409,3.401,3.7182,3.7976,3.9548,3.3515,2.9999,2.7999,2.9802,2.8181,2.9243,2.6529,2.8558,3.0099,3.3402,3.9589,4.9828,5.5311,5.6829,5.7271
ARG,,,2.0579,,2.151,,,,0.8041,,,0.4453,,,0.4854,,,,,,,,,4.2463,,,2.5821,2.5996,
ARM,,,,,,,,,,,5.9089,5.4519,5.1295,4.9382,4.8609,4.9884,5.1117,5.1419,5.1981,5.1799,5.2396,5.2988,5.2888,5.2009,5.1552,4.9535,,6.107,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,3.1191,,,,,,,,3.2976,,,,,,4.6011,4.6868,4.5085,4.4868,4.4969,4.5171
AUS,,,,,,,10.3597,,,,,9.7484,,,,9.7628,10.797,10.1586,10.2627,10.7496,10.4017,10.8124,10.1433,11.9398,12.1107,12.2016,12.4053,12.5508,
